ID	num
reERR1346801	78190463
reERR1346802	72987202
reERR1346803	54305829
reERR1346804	106109816
reERR1346805	95345775
reERR1346806	71891522
reERR1346807	63029602
reERR1346808	43662217
reERR1346809	70410031
reERR1346810	46380472
reERR1346811	26335728
reERR1346812	33509887
reERR1346813	35019153
reERR1346814	27610574
reERR1346815	75244810
reERR1346816	87369346
reERR1346817	267584694
reERR1346818	47250591
reERR1346819	185657454
reERR1346820	79988908
reERR1346821	63199045
reERR1346822	70994860
reERR1346823	56932871
reERR1346824	70923502
reERR1346825	100522077
reERR1346826	84947338
reERR1346827	101103378
reERR1346828	94770450
reERR1346829	65465582
reERR1346830	98027655
reERR1346831	120159458
reERR1346832	84493811
reERR1346833	358421172
reERR1346834	43229748
reERR1346835	84719944
reERR1346836	105056261
reERR1346837	47254066
reERR1346838	70499114
reERR1346839	61908613
reERR1346840	87468598
reERR1346841	18019028
reERR1346842	40532415
reERR1346843	94575131
reERR1346844	11862969
reERR1346845	134352712
reERR1346846	31678170
reERR1346847	13678154
reERR1346848	93945660
reERR1346849	90300303
reERR1346850	60465794
reERR1346851	19412077
reERR1346852	1254376
reERR1346853	1585673
reERR1346854	61462892
reERR1346855	19386691
reERR1346856	38326026
reERR1346857	68999226
reERR1346858	72538946
reERR1346859	93542430
reERR1346860	137570041
reERR1346861	54887833
reERR1346862	6109867
reERR1346863	110177285
reERR1346864	42818229
reERR1346865	115474885
reERR1346866	84737304
reERR1346867	52608130
reERR1346868	131378647
reERR1346869	18917707
reERR1346870	84230639
reERR1346871	31920041
reERR1346872	42367634
reERR1346873	73371922
reERR1346874	28585381
reERR1346875	1578204
reERR1346876	111200511
reERR1346877	25432767
reERR1346878	401303
reERR1346879	94805707
reERR1346880	6527151
reERR1346881	5010780
reERR1346882	45581398
reERR1346883	10749326
reERR1346884	9591892
reERR1346887	137995475
reERR1346888	87275075
reERR1346889	42499236
reERR1346890	130203224
reERR1346891	24028887
reERR1346892	28260961
