ID	num
reERR4183438	102547639
reERR4183439	107110477
reERR4183440	99314396
reERR4183441	110846234
reERR4183442	103196800
reERR4183443	98184137
reERR4183444	90194173
reERR4183445	99030845
reERR4183446	90015913
reERR4183447	105025837
reERR4183448	104538483
reERR4183449	97873511
reERR4183450	107866566
reERR4183451	111409761
reERR4183452	82653019
reERR4183453	26273649
reERR4183454	88469486
reERR4183455	101711752
reERR4183456	87305534
reERR4183457	78346515
reERR4183458	23968072
reERR4183459	89298069
reERR4183460	93951000
reERR4183461	85621221
reERR4183462	87037657
reERR4183463	98570239
reERR4183464	95845376
reERR4183465	83356601
reERR4183466	80811909
reERR4183467	99772608
reERR4183468	81484710
reERR4183469	14387659
reERR4183470	90231926
reERR4183471	79980118
reERR4183472	19786271
reERR4183473	94038712
reERR4183474	92367365
reERR4183475	79684240
reERR4183476	26717032
reERR4183477	104652482
reERR4183478	65064296
reERR4183479	37740701
reERR4183480	56004296
reERR4183481	41416031
reERR4183482	80739036
reERR4183483	16815636
reERR4183484	69772493
reERR4183485	29981256
reERR4183486	59590049
reERR4183487	26472495
reERR4183488	70748769
reERR4183489	21645231
reERR4183490	95702516
reERR4183491	60219882
reERR4183492	38563603
reERR4183493	67550913
reERR4183494	36911763
reERR4183495	68950774
reERR4183496	30668418
reERR4183497	91875981
reERR4183498	80674766
reERR4183499	79891944
