ID	num
reSRR9697535	7837015
reSRR9697536	6106108
reSRR9697537	14268584
reSRR9697538	6966044
reSRR9697539	7960799
reSRR9697540	3122091
reSRR9697541	7014014
reSRR9697542	5323196
reSRR9697543	5093467
reSRR9697544	6526039
reSRR9697545	13986450
reSRR9697546	10259268
reSRR9697547	2112571
reSRR9697548	4131003
reSRR9697549	7366696
reSRR9697550	8603838
reSRR9697551	13009952
reSRR9697552	3642208
reSRR9697553	6479043
reSRR9697554	6412684
reSRR9697555	7489867
reSRR9697556	7383457
reSRR9697557	5119413
reSRR9697558	3469181
reSRR9697559	16021628
reSRR9697560	5264847
reSRR9697561	20993070
reSRR9697562	52272136
reSRR9697563	1476312
reSRR9697564	3634253
reSRR9697566	3689606
reSRR9697567	10905488
reSRR9697568	5742213
reSRR9697569	12815642
