clade_name	reSRR16235394_taxonomic_profile	reSRR16235395_taxonomic_profile	reSRR16235396_taxonomic_profile	reSRR16235397_taxonomic_profile	reSRR16235398_taxonomic_profile	reSRR16235399_taxonomic_profile	reSRR16235400_taxonomic_profile	reSRR16235401_taxonomic_profile	reSRR16235402_taxonomic_profile	reSRR16235403_taxonomic_profile	reSRR16235404_taxonomic_profile	reSRR16235405_taxonomic_profile	reSRR16235406_taxonomic_profile	reSRR16235407_taxonomic_profile	reSRR16235408_taxonomic_profile	reSRR16235409_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp._canine_oral_taxon_374	0	0.000516001197122777	0.000451232994156533	0	0	0	0	0	0	0	0	0.000433273685989229	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_suimastitidis	0	0	0	0	0.00034986442753433	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Unclassified_Actinomyces	0.00589055351567869	0.00567601316835055	0.0112808248539133	0.00808025368947433	0.0106708650397971	0.000586499944282505	0.00107266213288138	0.00187449622913842	0.00146560947369964	0.0022944375186423	0.00451857132815873	0.00216636842994614	0.00320284412558352	0.00307597662257767	0.000890896942314423	0.00292497212501565
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium	0	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium|s__Arcanobacterium_pluranimalium	0	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella	0	0	0	0	0	0	0	0	0	0.0015296250124282	0	0	0	0.00153798831128883	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Unclassified_Trueperella	0	0	0	0	0	0	0	0	0	0.0015296250124282	0	0	0	0.00153798831128883	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Unclassified_Actinomycetaceae	0	0	0.000451232994156533	0.000304915233565069	0.000174932213767165	0	0	0.000624832076379473	0.00293121894739928	0	0	0.000433273685989229	0	0	0	0.000818992195004382
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Unclassified_Actinomycetaceae|s__	0	0	0.000451232994156533	0.000304915233565069	0.000174932213767165	0	0	0.000624832076379473	0.00293121894739928	0	0	0.000433273685989229	0	0	0	0.000818992195004382
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	6.89783816685975	5.64350509293182	0.613225639058728	0.0946761800219539	0.713898364383801	0.317882969801118	0.00750863493016969	4.59314059346551	1.08161979159033	0.336517502734205	0.678789826185623	4.53247602913332	12.1115550608941	5.38680406028914	0.107671259028286	0.00479695428502566
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	6.89783816685975	5.64350509293182	0.613225639058728	0.0946761800219539	0.713898364383801	0.317882969801118	0.00750863493016969	4.59314059346551	1.08161979159033	0.336517502734205	0.678789826185623	4.53247602913332	12.1115550608941	5.38680406028914	0.107671259028286	0.00479695428502566
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	6.83107856034872	5.57384493132024	0.601042348216502	0.0934565190876936	0.69483075308318	0.305566470971185	0.00750863493016969	4.47129833857151	1.05963564948484	0.330399002684492	0.672263000933838	4.49651431319622	11.8329076219683	5.33835742848354	0.104362213242547	0.00456295651502441
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.0235622140627148	0.00928802154820999	0	0	0	0	0	0	0	0	0.00251031740453263	0.00259964211593537	0	0.018455859735466	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis_ATCC_15703	0.0157081427084765	0.00877202035108722	0	0	0	0	0	0	0	0	0.000502063480906526	0.0030329158019246	0	0.00768994155644417	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0	0	0.000451232994156533	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0	0.00103200239424555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0	0	0	0	0	0.000433273685989229	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_choerinum	0	0	0.000451232994156533	0	0	0	0	0.000624832076379473	0	0	0	0.000433273685989229	0.00480426618837528	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.00196351783855956	0.00154800359136833	0	0	0	0	0	0	0	0	0	0	0	0.00307597662257767	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum	0	0.000516001197122777	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_kashiwanohense	0.0412338746097508	0.0402480933755766	0	0	0	0	0	0	0.00586243789479855	0.0015296250124282	0.00502063480906526	0.0238300527294076	0	0.0469086434943094	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum_subsp._longum_KACC_91563	0	0.000516001197122777	0	0	0	0	0	0	0	0	0	0	0	0.000768994155644417	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum_subsp._suis	0	0	0	0	0	0	0	0	0	0	0	0.000433273685989229	0	0.000768994155644417	0	0
