X.mOTUs2_clade	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula	0	0	0	0	0	0	0	0	0	0.0403127785	0	0	0	0.1243284195	0	0.0620261018	0.0131522077	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula amylolytica/hispanica	0	0	0	0	0	0	0	0	0	0.0139034643	0	0	0	0.0635946434	0	0.0190582585	0.0131522077	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula argentinensis	0	0	0	0	0	0	0	0	0	0.0015063392	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula japonica	0	0	0	0	0	0	0	0	0	0.0019458482	0	0	0	0.0218641594	0	0.0149461661	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula rubripromontorii	0	0	0	0	0	0	0	0	0	0.0034837554	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula sp. CBA1127	0	0	0	0	0	0	0	0	0	0.0030673066	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula sp.	0	0	0	0	0	0	0	0	0	0.0023940938	0	0	0	0	0	0.0161835666	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula species incertae sedis [ext_mOTU_v3_19434]	0	0	0	0	0	0	0	0	0	0.0095763754	0	0	0	0	0	0.0118381106	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula vallismortis	0	0	0	0	0	0	0	0	0	0.0044355956	0	0	0	0.0388696167	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium	0	0	0	0	0	0	0	0	0	0.0052838433	0	0	0	0	0	0	0.0252711075	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium katesii/mukohataei	0	0	0	0	0	0	0	0	0	0.0011342869	0	0	0	0	0	0	0.0252711075	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium zhouii	0	0	0	0	0	0	0	0	0	0.0041495564	0	0	0	0	0	0	0	0	0	0
