X.mOTUs2_clade	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum kocurii	0	0	0	0	0	0	0	0	0	0.005165924	0	0	0	0	0	0.0159254029	0.0103807243	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum lacusprofundi	0	0	0	0	0	0	0	0	0	0.0013233347	0	0	0	0	0	0.0100153775	0.0051787376	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum lipolyticum	0	0	0	0	0	0	0	0	0	0.0090419817	0	0	0	0	0	0.0095260591	0.0116845666	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum saccharovorum	0	0	0	0	0	0	0	0	0	0.0113640536	0	0	0	0	0	0.0180606602	0.012860047	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum saccharovorum/halophilum	0	0	0	0	0	0	0	0	0	0.0072641968	0	0	0	0.0420392421	0	0.0090061156	0.0252987565	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum sodomense	0	0	0	0	0	0	0	0	0	0.0256405095	0	0	0	0	0.0398233599	0.0397699952	0.0226770813	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum sp. BV1	0	0	0	0	0	0	0	0	0	0.0036942754	0	0	0	0	0	0.0144690042	0.0153302078	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum sp. SD626R	0	0	0	0	0	0	0	0	0	0.0270992903	0.0689017056	0	0	0.0242404809	0.0503488801	0.0198308151	0.0172238834	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum sp. T3	0	0	0	0	0	0	0	0	0	0.0397640509	0.0986092686	0	0	0.0326421384	0.0833702084	0.0461461629	0.0230080233	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum sp.	0	0	0	0	0	0	0	0	0	0.0945338537	0.1343120201	0	0	0.0935935754	0.0772027106	0.0745427607	0.0653450914	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum species incertae sedis [ext_mOTU_v3_28641]	0	0	0	0	0	0	0	0	0	0.0619079561	0	0	0	0	0.0808666914	0.1030364207	0.0627208528	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum species incertae sedis [ext_mOTU_v3_28712]	0	0	0	0	0	0	0	0	0	0.0081846885	0	0	0	0	0	0.0183785584	0.0422689347	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum species incertae sedis [ext_mOTU_v3_28718]	0	0	0	0	0	0	0	0	0	0.2909679132	0	0	0	0.1051302936	0.0715964062	0.2014670247	0.0474950917	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum tebenquichense/hochstenium	0	0	0	0	0	0	0	0	0	0.014567744	0	0	0	0.0465264162	0.0794754365	0.0316723618	0.0155167983	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum tropicale	0	0	0	0	0	0	0	0	0	0.0955361739	0.089212866	0	0	0.0892097294	0.1505946622	0.1027523642	0.0905821602	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales	0	0	0	0	0	0	0	0	0	0.0374806819	0	0	0	0.0377285944	0	0.0244225138	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae	0	0	0	0	0	0	0	0	0	0.0374806819	0	0	0	0.0377285944	0	0.0244225138	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halobiforma	0	0	0	0	0	0	0	0	0	0.002580693	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halobiforma|s__Halobiforma haloterrestris/lacisalsi	0	0	0	0	0	0	0	0	0	0.0017014303	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halobiforma|s__Halobiforma nitratireducens	0	0	0	0	0	0	0	0	0	0.0008792627	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halopiger	0	0	0	0	0	0	0	0	0	0.0053365409	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halopiger|s__Halopiger djelfimassiliensis	0	0	0	0	0	0	0	0	0	0.0005147746	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halopiger|s__Halopiger goleimassiliensis	0	0	0	0	0	0	0	0	0	0.0017647614	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halopiger|s__Halopiger salifodinae	0	0	0	0	0	0	0	0	0	0.0016940966	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halopiger|s__Halopiger xanaduensis	0	0	0	0	0	0	0	0	0	0.0013629083	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halostagnicola	0	0	0	0	0	0	0	0	0	0.0015174748	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halostagnicola|s__Halostagnicola kamekurae	0	0	0	0	0	0	0	0	0	0.0015174748	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Haloterrigena	0	0	0	0	0	0	0	0	0	0.0058684079	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Haloterrigena|s__Haloterrigena limicola	0	0	0	0	0	0	0	0	0	0.0016577182	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Haloterrigena|s__Haloterrigena mahii	0	0	0	0	0	0	0	0	0	0.0004689401	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Haloterrigena|s__Haloterrigena saccharevitans	0	0	0	0	0	0	0	0	0	0.0013572454	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Haloterrigena|s__Haloterrigena salina	0	0	0	0	0	0	0	0	0	0.0010563573	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Haloterrigena|s__Haloterrigena turkmenica	0	0	0	0	0	0	0	0	0	0.0013281469	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halovivax	0	0	0	0	0	0	0	0	0	0.0017295067	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halovivax|s__Halovivax asiaticus	0	0	0	0	0	0	0	0	0	0.0017295067	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialba	0	0	0	0	0	0	0	0	0	0.0027745279	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialbaceae gen. [Haloterrigena/Natrinema]	0	0	0	0	0	0	0	0	0	0.0026706483	0	0	0	0.0377285944	0	0.0244225138	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialbaceae gen. [Haloterrigena/Natrinema]|s__Natrialbaceae sp.	0	0	0	0	0	0	0	0	0	0.0026706483	0	0	0	0.0377285944	0	0.0244225138	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialbaceae gen. [Haloterrigena/Natronorubrum]	0	0	0	0	0	0	0	0	0	0.001318894	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialbaceae gen. [Haloterrigena/Natronorubrum]|s__Natrialbaceae sp.	0	0	0	0	0	0	0	0	0	0.001318894	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialbaceae gen. incertae sedis	0	0	0	0	0	0	0	0	0	0.006063863	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialbaceae gen. incertae sedis|s__Natrialbaceae archaeon B1-Br10_E2g2	0	0	0	0	0	0	0	0	0	0.0005573074	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialbaceae gen. incertae sedis|s__Natrialbaceae archaeon Tc-Br11_E2g8	0	0	0	0	0	0	0	0	0	0.0055065556	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialba|s__Natrialba aegyptia/taiwanensis	0	0	0	0	0	0	0	0	0	0.0017709928	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialba|s__Natrialba hulunbeirensis	0	0	0	0	0	0	0	0	0	0.0005250907	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialba|s__Natrialba sp. SSL1	0	0	0	0	0	0	0	0	0	0.0004784444	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrinema	0	0	0	0	0	0	0	0	0	0.002733472	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrinema|s__Natrinema gari	0	0	0	0	0	0	0	0	0	0.0017088279	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrinema|s__Natrinema salaciae	0	0	0	0	0	0	0	0	0	0.0007279054	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrinema|s__Natrinema versiforme	0	0	0	0	0	0	0	0	0	0.0002967387	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronobacterium	0	0	0	0	0	0	0	0	0	0.0010882016	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronobacterium|s__Natronobacterium gregoryi	0	0	0	0	0	0	0	0	0	0.0010882016	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronococcus	0	0	0	0	0	0	0	0	0	0.0021512206	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronococcus|s__Natronococcus jeotgali	0	0	0	0	0	0	0	0	0	0.0005696093	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronococcus|s__Natronococcus occultus	0	0	0	0	0	0	0	0	0	0.0015816113	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronolimnobius	0	0	0	0	0	0	0	0	0	0.000782478	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronolimnobius|s__Natronolimnobius innermongolicus	0	0	0	0	0	0	0	0	0	0.000782478	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Salinarchaeum	0	0	0	0	0	0	0	0	0	0.0008647534	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Salinarchaeum|s__Salinarchaeum sp. Harcht-Bsk1	0	0	0	0	0	0	0	0	0	0.0008647534	0	0	0	0	0	0	0	0	0	0
k__Bacteria	0.8521105581	0.6350025741	0.4360875522	0.6410817304	0	0	0	0	0.7922923574	0.0489597989	0.5209487619	0.4977799555	0	0.0476649314	0.0867513568	0.035119423	0.1872993358	0.5566505119	0	0.3329644752
k__Bacteria|p__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0.067980607	0	0	0	0	0	0.3678260508	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3678260508	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiia order incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3678260508	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiia order incertae sedis|f__Acidimicrobiia fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3678260508	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiia order incertae sedis|f__Acidimicrobiia fam. incertae sedis|g__Acidimicrobiia gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3678260508	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiia order incertae sedis|f__Acidimicrobiia fam. incertae sedis|g__Acidimicrobiia gen. incertae sedis|s__Acidimicrobiia species incertae sedis [ext_mOTU_v3_21691]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3678260508	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0.067980607	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales	0	0	0	0	0	0	0	0	0	0	0	0.067980607	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0.067980607	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae|g__Blastococcus	0	0	0	0	0	0	0	0	0	0	0	0.067980607	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae|g__Blastococcus|s__Blastococcus sp. DSM 46838	0	0	0	0	0	0	0	0	0	0	0	0.067980607	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	0.5657260301	0.3038031185	0.258791537	0.4752272141	0	0	0	0	0	0.0064597273	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes class incertae sedis	0	0	0	0	0	0	0	0	0	0.0059242556	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes class incertae sedis|o__Bacteroidetes Order II. Incertae sedis	0	0	0	0	0	0	0	0	0	0.0059242556	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes class incertae sedis|o__Bacteroidetes Order II. Incertae sedis|f__Bacteroidetes Order II. Incertae sedis fam. incertae sedis	0	0	0	0	0	0	0	0	0	0.0024261136	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes class incertae sedis|o__Bacteroidetes Order II. Incertae sedis|f__Bacteroidetes Order II. Incertae sedis fam. incertae sedis|g__Bacteroidetes Order II. Incertae sedis gen. incertae sedis	0	0	0	0	0	0	0	0	0	0.0024261136	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes class incertae sedis|o__Bacteroidetes Order II. Incertae sedis|f__Bacteroidetes Order II. Incertae sedis fam. incertae sedis|g__Bacteroidetes Order II. Incertae sedis gen. incertae sedis|s__Bacteroidetes Order II. Incertae sedis species incertae sedis [ext_mOTU_v3_28346]	0	0	0	0	0	0	0	0	0	0.0024261136	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes class incertae sedis|o__Bacteroidetes Order II. Incertae sedis|f__Rhodothermaceae	0	0	0	0	0	0	0	0	0	0.003498142	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes class incertae sedis|o__Bacteroidetes Order II. Incertae sedis|f__Rhodothermaceae|g__Salinibacter	0	0	0	0	0	0	0	0	0	0.003498142	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes class incertae sedis|o__Bacteroidetes Order II. Incertae sedis|f__Rhodothermaceae|g__Salinibacter|s__Salinibacter ruber	0	0	0	0	0	0	0	0	0	0.003498142	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.5657260301	0.3038031185	0.258791537	0.4752272141	0	0	0	0	0	0.0005354717	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.5657260301	0.3038031185	0.258791537	0.4752272141	0	0	0	0	0	0.0005354717	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.5657260301	0.3038031185	0.258791537	0.4752272141	0	0	0	0	0	0.0005354717	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Arenibacter	0.0387639204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Arenibacter|s__Arenibacter species incertae sedis [ext_mOTU_v3_31328]	0.0387639204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacteriaceae gen. incertae sedis	0	0.1056963378	0	0.1206068579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacteriaceae gen. incertae sedis|s__Flavobacteriaceae species incertae sedis [ext_mOTU_v3_22168]	0	0.1056963378	0	0.1206068579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium	0.1710806109	0	0	0.1002767725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium degerlachei	0.0839758014	0	0	0.1002767725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium frigoris	0.048340889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium species incertae sedis [ext_mOTU_v3_22289]	0.0387639204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gillisia	0.0788518097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gillisia|s__Gillisia sp.	0.0413269187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gillisia|s__Gillisia species incertae sedis [ext_mOTU_v3_30889]	0.037524891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter	0.2770296891	0.1981067808	0.258791537	0.2543435837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter|s__Maribacter arcticus	0.0557814465	0.1981067808	0	0.1206068579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter|s__Maribacter orientalis	0.1392327622	0	0.258791537	0.1337367258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter|s__Maribacter species incertae sedis [ext_mOTU_v3_22126]	0.0820154804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Salegentibacter	0	0	0	0	0	0	0	0	0	0.0005354717	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Salegentibacter|s__Salegentibacter mishustinae/salarius	0	0	0	0	0	0	0	0	0	0.0005354717	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlorobi	0	0	0	0	0	0	0	0	0.1544130989	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia	0	0	0	0	0	0	0	0	0.1544130989	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	0	0	0	0	0	0	0	0	0.1544130989	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae	0	0	0	0	0	0	0	0	0.1544130989	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium	0	0	0	0	0	0	0	0	0.1544130989	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium phaeobacteroides	0	0	0	0	0	0	0	0	0.1544130989	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes	0	0.120859007	0	0	0	0	0	0	0	0	0.2189770346	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetes class incertae sedis	0	0	0	0	0	0	0	0	0	0	0.2189770346	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetes class incertae sedis|o__Planctomycetes order incertae sedis	0	0	0	0	0	0	0	0	0	0	0.2189770346	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetes class incertae sedis|o__Planctomycetes order incertae sedis|f__Planctomycetes fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0.2189770346	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetes class incertae sedis|o__Planctomycetes order incertae sedis|f__Planctomycetes fam. incertae sedis|g__Planctomycetes gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0.2189770346	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetes class incertae sedis|o__Planctomycetes order incertae sedis|f__Planctomycetes fam. incertae sedis|g__Planctomycetes gen. incertae sedis|s__Planctomycetes species incertae sedis [ext_mOTU_v3_30825]	0	0	0	0	0	0	0	0	0	0	0.2189770346	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia	0	0.120859007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	0	0.120859007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetales fam. incertae sedis	0	0.120859007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetales fam. incertae sedis|g__Planctomycetales gen. incertae sedis	0	0.120859007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetales fam. incertae sedis|g__Planctomycetales gen. incertae sedis|s__Planctomycetales species incertae sedis [ext_mOTU_v3_24892]	0	0.120859007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	0.286384528	0.1006696967	0.1772960152	0.1658545164	0	0	0	0	0.6378792584	0.0425000715	0.3019717273	0.4297993485	0	0.0476649314	0.0867513568	0.035119423	0.1872993358	0.1888244611	0	0.3329644752
