X.mOTUs2_clade	reSRR3584976	reSRR3584977	reSRR3584978	reSRR3584979	reSRR3584980	reSRR3584981	reSRR3584982	reSRR3584983	reSRR3584984	reSRR3584985	reSRR3584986	reSRR3584987
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_24579]	0.2675585847	0.2752098057	0	0	0.3080107649	0.2532333856	0	0	0.1961262101	0.4567959287	0.0963015083	0.1973198723
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_27853]	0	0	0	0.0963603644	0	0	0	0.1066195651	0	0	0.1239409141	0
k__Bacteria|p__Bacteroidetes	0	0	0.1037278526	0.1051265131	0.0967793387	0	0	0.0996565698	0	0	0.2344922883	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia	0	0	0.1037278526	0.1051265131	0.0967793387	0	0	0.0996565698	0	0	0.1220965552	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	0	0	0.1037278526	0.1051265131	0.0967793387	0	0	0.0996565698	0	0	0.1220965552	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae	0	0	0.1037278526	0.1051265131	0.0967793387	0	0	0.0996565698	0	0	0.1220965552	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus	0	0	0.1037278526	0.1051265131	0.0967793387	0	0	0.0996565698	0	0	0.1220965552	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus species incertae sedis [ext_mOTU_v3_31491]	0	0	0.1037278526	0.1051265131	0.0967793387	0	0	0.0996565698	0	0	0.1220965552	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0	0	0	0	0	0	0	0	0	0	0.112395733	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0.112395733	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0.112395733	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium	0	0	0	0	0	0	0	0	0	0	0.112395733	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium species incertae sedis [ext_mOTU_v3_31510]	0	0	0	0	0	0	0	0	0	0	0.112395733	0
k__Bacteria|p__Proteobacteria	0.4430470081	0.3358473728	0.5108529233	0.1503858264	0.1080096229	0.2587010458	0.3428831975	0.1107460546	0.318166813	0.1814963563	0	0.2180348977
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0	0	0.3085244099	0.0671127741	0.1080096229	0.1143718187	0.3428831975	0	0	0	0	0.1015068521
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0	0	0.2323414959	0	0.1080096229	0.1143718187	0.2044456837	0	0	0	0	0.1015068521
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0	0	0.2323414959	0	0.1080096229	0.1143718187	0.2044456837	0	0	0	0	0.1015068521
