;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID76;ID77;ID78;ID79;ID80;ID81;ID82;ID83;ID84;ID85;ID86;ID87;ID88;ID89;ID90;ID91;ID92;ID93;ID94;ID95;ID96;ID97;ID98;ID99
ID0;0.000000;0.734039;0.717722;0.854374;0.816281;0.865515;0.877105;0.896693;0.835053;0.829809;0.927580;0.841109;0.860975;0.863333;0.942375;0.911667;0.834587;0.832313;0.921978;0.864332;0.914226;0.873562;0.879055;0.832386;0.847671;0.917377;0.839929;0.835444;0.849327;0.827033;0.857375;0.867326;0.855473;0.887232;0.872047;0.861997;0.865535;0.912497;0.853923;0.859796;0.859308;0.728184;0.886156;0.863512;0.846551;0.818971;0.822890;0.886721;0.829162;0.910982;0.837377;0.877146;0.821614;0.875922;0.837351;0.874572;0.921764;0.865165;0.921930;0.842424;0.891727;0.870809;0.894783;0.914481;0.913692;0.901944;0.890874;0.887194;0.862404;0.852117;0.856285;0.896815;0.894060;0.824301;0.856366;0.846536;0.874282;0.887957;0.909875;0.851239;0.833776;0.825507;0.861357;0.843037;0.820426;0.850108;0.864033;0.828978;0.857667;0.857533;0.879517;0.826436;0.831293;0.833429;0.983207;0.989496;0.897762;0.791561;0.845273;0.974567
ID1;0.734039;0.000000;0.353806;0.587883;0.814420;0.776032;0.883941;0.881931;0.808733;0.794275;0.905818;0.824591;0.849872;0.850102;0.930231;0.882661;0.798880;0.807687;0.893715;0.888241;0.887130;0.861259;0.801236;0.838246;0.801330;0.915759;0.822136;0.826812;0.817967;0.845453;0.819219;0.848331;0.854694;0.902523;0.888348;0.827899;0.825262;0.896152;0.849441;0.834395;0.807240;0.834587;0.867339;0.841872;0.794858;0.803659;0.794891;0.856330;0.823356;0.858111;0.789938;0.817959;0.798291;0.797627;0.823034;0.805703;0.909160;0.803680;0.870304;0.819221;0.821220;0.824556;0.900112;0.882568;0.925384;0.873952;0.862136;0.866667;0.850707;0.764672;0.771582;0.851328;0.876584;0.731306;0.728965;0.862802;0.903056;0.896276;0.852660;0.754262;0.744352;0.740203;0.771862;0.753692;0.746733;0.762981;0.809249;0.780798;0.784527;0.814089;0.804757;0.749772;0.839986;0.787717;0.978198;0.986907;0.860852;0.807406;0.776766;0.963095
ID2;0.717722;0.353806;0.000000;0.615027;0.796161;0.782184;0.869960;0.864276;0.771801;0.786629;0.898191;0.815199;0.839168;0.840291;0.932656;0.881469;0.788331;0.786600;0.884241;0.872000;0.892632;0.845229;0.811676;0.826149;0.799438;0.913783;0.809849;0.812289;0.807557;0.832750;0.814258;0.839642;0.835683;0.889456;0.871993;0.821354;0.819690;0.886550;0.828079;0.814472;0.780466;0.816268;0.868808;0.834544;0.790434;0.798544;0.772031;0.841745;0.814593;0.853100;0.790989;0.800524;0.785720;0.793333;0.807563;0.818767;0.902010;0.800212;0.869385;0.811257;0.818183;0.789979;0.891508;0.858777;0.916527;0.864304;0.850750;0.846347;0.835208;0.737935;0.752455;0.829897;0.881304;0.736963;0.751227;0.840208;0.889432;0.892407;0.856407;0.732573;0.733853;0.743037;0.738390;0.721524;0.721595;0.743304;0.783260;0.761084;0.758146;0.813048;0.782135;0.737084;0.826770;0.764993;0.961895;0.971927;0.846239;0.778199;0.772686;0.939064
ID3;0.854374;0.587883;0.615027;0.000000;0.897009;0.844658;0.932832;0.874338;0.889237;0.873390;0.939476;0.886923;0.878320;0.881761;0.885046;0.921729;0.802459;0.812497;0.869320;0.868714;0.925723;0.881159;0.846737;0.846923;0.823264;0.936680;0.889420;0.882777;0.846673;0.837486;0.846819;0.869335;0.888072;0.956027;0.949730;0.868311;0.856845;0.867889;0.913904;0.889097;0.864916;0.867190;0.900166;0.867713;0.841420;0.831332;0.838239;0.888395;0.840483;0.851718;0.820823;0.857929;0.824223;0.808661;0.848040;0.838049;0.942236;0.848272;0.827514;0.840964;0.829947;0.868069;0.941780;0.916236;0.954737;0.927128;0.926135;0.932636;0.878806;0.785613;0.841094;0.891426;0.943709;0.782705;0.789001;0.892636;0.948784;0.938585;0.862969;0.810768;0.831620;0.819804;0.841111;0.821791;0.817721;0.855641;0.859486;0.816868;0.851806;0.901708;0.863565;0.807015;0.860869;0.862956;0.977176;0.987355;0.894705;0.852329;0.826058;0.973342
ID4;0.816281;0.814420;0.796161;0.897009;0.000000;0.771773;0.783315;0.835083;0.446067;0.478435;0.854332;0.763239;0.808099;0.787086;0.916269;0.847885;0.779870;0.787098;0.835314;0.805218;0.859058;0.796780;0.786212;0.771217;0.754594;0.906466;0.754585;0.753876;0.765945;0.781749;0.724981;0.796560;0.758123;0.823532;0.803307;0.760959;0.781865;0.815564;0.745908;0.731166;0.757774;0.793540;0.889271;0.849186;0.820935;0.788921;0.755552;0.843372;0.811968;0.879100;0.803024;0.843449;0.743833;0.784166;0.811243;0.864402;0.911286;0.752808;0.880659;0.836586;0.840400;0.783324;0.909518;0.884745;0.914628;0.855511;0.821664;0.825461;0.811836;0.752298;0.786638;0.857167;0.877499;0.788666;0.831959;0.827339;0.909216;0.887495;0.862530;0.803305;0.772909;0.781577;0.789889;0.728206;0.713892;0.737086;0.757285;0.756518;0.789768;0.771393;0.803892;0.779058;0.787220;0.696580;0.959985;0.982519;0.858896;0.770741;0.741594;0.952979
ID5;0.865515;0.776032;0.782184;0.844658;0.771773;0.000000;0.660753;0.701476;0.756867;0.737520;0.877350;0.720659;0.789017;0.760345;0.865735;0.857818;0.719918;0.740656;0.852722;0.865520;0.566521;0.633271;0.728640;0.827019;0.790381;0.912102;0.697023;0.721957;0.691522;0.810968;0.718628;0.753761;0.590095;0.806327;0.794821;0.740911;0.712431;0.856574;0.764148;0.788416;0.753178;0.805854;0.889952;0.853853;0.834562;0.729756;0.740795;0.818633;0.848249;0.854882;0.797221;0.856946;0.735844;0.745685;0.851090;0.869033;0.930634;0.773112;0.857763;0.844685;0.800974;0.849293;0.915385;0.904918;0.931689;0.885711;0.867181;0.865692;0.843555;0.782685;0.781245;0.893689;0.884087;0.757518;0.768326;0.879733;0.913417;0.876136;0.838843;0.803758;0.784878;0.766525;0.807231;0.793897;0.729383;0.770264;0.763874;0.709331;0.810889;0.795354;0.828362;0.778312;0.775274;0.713812;0.976901;0.988695;0.866856;0.787014;0.673637;0.973716
ID6;0.877105;0.883941;0.869960;0.932832;0.783315;0.660753;0.000000;0.319676;0.780643;0.713612;0.884541;0.622490;0.615085;0.588220;0.676850;0.883024;0.671924;0.679333;0.756787;0.836607;0.724109;0.255778;0.825822;0.756760;0.829044;0.923362;0.628409;0.625035;0.699712;0.763110;0.762784;0.631432;0.429992;0.436361;0.585455;0.680699;0.679843;0.733550;0.716790;0.767384;0.829133;0.799184;0.922852;0.884799;0.883395;0.678885;0.668045;0.728611;0.877382;0.920090;0.863971;0.907847;0.681224;0.816839;0.865304;0.915659;0.894920;0.866664;0.917810;0.879287;0.860187;0.893664;0.886773;0.938887;0.954380;0.827441;0.862256;0.824391;0.855833;0.748378;0.840957;0.934257;0.827976;0.807972;0.866969;0.925392;0.881661;0.839116;0.897171;0.833357;0.822209;0.817664;0.854062;0.827261;0.787836;0.853346;0.801591;0.747601;0.850768;0.736125;0.879843;0.810961;0.656052;0.706980;0.970547;0.992850;0.902250;0.848419;0.736716;0.975366
ID7;0.896693;0.881931;0.864276;0.874338;0.835083;0.701476;0.319676;0.000000;0.827747;0.707284;0.926149;0.664354;0.545419;0.612415;0.718003;0.923973;0.668585;0.678471;0.813146;0.907311;0.781813;0.226616;0.810379;0.729986;0.785479;0.941830;0.679991;0.648559;0.719207;0.780129;0.769772;0.597453;0.366443;0.453739;0.611193;0.680970;0.690969;0.783051;0.780874;0.816920;0.858871;0.742111;0.933202;0.882554;0.876053;0.668109;0.669940;0.746153;0.869599;0.886594;0.884796;0.919321;0.635251;0.803666;0.873827;0.906746;0.876796;0.896404;0.853185;0.871203;0.834098;0.915644;0.856773;0.961690;0.962357;0.822900;0.914795;0.864494;0.861039;0.667485;0.865981;0.956219;0.759692;0.812068;0.858473;0.941466;0.842758;0.829394;0.880302;0.832416;0.859372;0.852044;0.884467;0.832605;0.799792;0.871946;0.818439;0.722646;0.877741;0.763337;0.908711;0.820648;0.570231;0.749677;0.979420;0.982108;0.906478;0.864238;0.745870;0.980756
ID8;0.835053;0.808733;0.771801;0.889237;0.446067;0.756867;0.780643;0.827747;0.000000;0.483779;0.869635;0.756569;0.813089;0.794411;0.925244;0.861423;0.757100;0.762497;0.847487;0.827124;0.846816;0.787031;0.800016;0.774444;0.767359;0.904455;0.744592;0.755801;0.765008;0.774620;0.769522;0.791250;0.742931;0.816034;0.796785;0.771592;0.791820;0.817490;0.728665;0.728895;0.727904;0.795181;0.890203;0.853232;0.828315;0.791262;0.748160;0.826083;0.826359;0.887047;0.799243;0.839051;0.743766;0.799168;0.819189;0.869584;0.898061;0.748802;0.903858;0.839429;0.829939;0.738562;0.893013;0.855554;0.910703;0.838876;0.812105;0.801073;0.819715;0.727459;0.747941;0.841422;0.870706;0.765340;0.823089;0.792438;0.898406;0.874206;0.877875;0.769212;0.742605;0.757720;0.749891;0.698790;0.674706;0.704075;0.736577;0.721764;0.767585;0.764361;0.778345;0.753412;0.777701;0.672698;0.955655;0.976302;0.846210;0.769934;0.730666;0.938330
ID9;0.829809;0.794275;0.786629;0.873390;0.478435;0.737520;0.713612;0.707284;0.483779;0.000000;0.887560;0.695435;0.691993;0.730558;0.876905;0.868032;0.663202;0.686522;0.830041;0.847173;0.846374;0.671555;0.753212;0.692421;0.727170;0.910705;0.687770;0.653277;0.714745;0.718058;0.708395;0.681422;0.635509;0.703072;0.676820;0.683537;0.731489;0.818119;0.700736;0.720579;0.766803;0.745214;0.899560;0.850096;0.821925;0.714646;0.682382;0.791636;0.812765;0.867447;0.817423;0.853311;0.636917;0.762143;0.814367;0.855704;0.874065;0.765050;0.871252;0.838873;0.808993;0.779995;0.861472;0.900356;0.924232;0.820874;0.842251;0.799851;0.763594;0.642495;0.788252;0.883788;0.795697;0.733398;0.790391;0.826271;0.861334;0.838647;0.857342;0.770799;0.771468;0.766945;0.799951;0.728322;0.702332;0.759363;0.743876;0.675610;0.794311;0.715771;0.825082;0.741248;0.663513;0.660049;0.973470;0.979847;0.861284;0.789672;0.694146;0.967713
