;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID76;ID77;ID78;ID79;ID80;ID81;ID82;ID83;ID84;ID85;ID86;ID87;ID88;ID89;ID90;ID91;ID92;ID93;ID94;ID95;ID96;ID97;ID98;ID99
ID10;0.962430;0.950582;0.946365;0.968793;0.921444;0.934668;0.938734;0.961659;0.930273;0.940431;0.000000;0.938349;0.948914;0.942637;0.971109;0.404656;0.949332;0.945849;0.946326;0.934198;0.957251;0.953546;0.930389;0.908327;0.942249;0.767665;0.937986;0.934121;0.944324;0.879999;0.949482;0.947634;0.939740;0.975145;0.970444;0.943073;0.940544;0.954032;0.876265;0.886014;0.928091;0.956683;0.744802;0.768550;0.858092;0.949019;0.933349;0.944467;0.830649;0.965728;0.905922;0.948581;0.937825;0.932047;0.879365;0.870221;0.974225;0.929124;0.962547;0.858993;0.946450;0.938823;0.975942;0.932489;0.937567;0.944792;0.944764;0.932639;0.944940;0.937020;0.923233;0.946481;0.970436;0.942280;0.945852;0.947975;0.976891;0.953880;0.958460;0.932804;0.924240;0.929226;0.924320;0.934985;0.932178;0.940842;0.948004;0.943331;0.937697;0.935822;0.937479;0.940990;0.942731;0.919396;0.989379;0.995750;0.808495;0.893246;0.921957;0.980726
ID11;0.913698;0.903864;0.898192;0.940073;0.865724;0.837655;0.767326;0.798332;0.861417;0.820362;0.938349;0.000000;0.531459;0.513893;0.864729;0.936165;0.764414;0.807734;0.889048;0.925391;0.889173;0.756992;0.843070;0.839117;0.862270;0.952777;0.392382;0.461093;0.507373;0.829748;0.639909;0.512353;0.790343;0.777912;0.783489;0.596230;0.541665;0.857873;0.836240;0.849289;0.880075;0.836733;0.941826;0.913222;0.905488;0.762083;0.791794;0.822816;0.898732;0.926067;0.897922;0.928847;0.781505;0.860179;0.898387;0.932813;0.944011;0.875894;0.924537;0.912665;0.897258;0.931069;0.926481;0.962335;0.968054;0.914551;0.915216;0.896215;0.894297;0.833430;0.895460;0.955188;0.902811;0.849873;0.879642;0.947442;0.927827;0.904638;0.911243;0.882232;0.879511;0.870743;0.906247;0.862714;0.824913;0.874867;0.855910;0.810256;0.898513;0.855057;0.922545;0.863915;0.757443;0.786496;0.994954;0.995800;0.930138;0.891549;0.778145;0.988906
ID12;0.925294;0.918844;0.912552;0.935219;0.893866;0.882068;0.761675;0.705852;0.896910;0.817962;0.948914;0.531459;0.000000;0.489076;0.847426;0.950210;0.783216;0.819980;0.886710;0.934417;0.932299;0.727655;0.854490;0.809623;0.852863;0.963130;0.600060;0.516475;0.638779;0.840032;0.700316;0.469723;0.775561;0.746272;0.781561;0.602478;0.595402;0.862923;0.867911;0.875488;0.916309;0.833508;0.953776;0.925059;0.916833;0.786944;0.808110;0.848638;0.898941;0.926772;0.923106;0.940562;0.774158;0.879984;0.905347;0.938244;0.925333;0.905454;0.910561;0.921359;0.904685;0.945494;0.905502;0.969974;0.973999;0.891021;0.935319;0.900032;0.901828;0.802592;0.921115;0.964021;0.872583;0.871991;0.891602;0.958433;0.909090;0.895146;0.918712;0.895266;0.907595;0.900167;0.928614;0.882738;0.872369;0.911112;0.885274;0.833575;0.920456;0.865649;0.943131;0.888068;0.738629;0.834519;0.995144;0.995634;0.934199;0.902677;0.829171;0.989409
ID13;0.926655;0.918978;0.913215;0.937166;0.880860;0.863859;0.740728;0.759624;0.885428;0.844303;0.942637;0.513893;0.489076;0.000000;0.811534;0.940358;0.789571;0.816414;0.865055;0.924351;0.917438;0.741052;0.867153;0.867583;0.856632;0.958379;0.557307;0.567714;0.588905;0.861978;0.669910;0.540127;0.828023;0.755162;0.825831;0.591118;0.521985;0.850571;0.870877;0.871863;0.901501;0.861703;0.949817;0.922753;0.914910;0.782191;0.813089;0.837631;0.907041;0.927695;0.913746;0.936372;0.816365;0.866916;0.909824;0.934795;0.945578;0.892748;0.920454;0.921699;0.899873;0.935246;0.934937;0.967282;0.971373;0.921185;0.935205;0.924859;0.897527;0.851912;0.908068;0.959718;0.916681;0.869133;0.887507;0.948974;0.942687;0.923506;0.912242;0.889984;0.899111;0.889392;0.919453;0.885839;0.868180;0.910813;0.880028;0.842121;0.914111;0.878816;0.933232;0.881103;0.790798;0.836301;0.991574;0.994079;0.933954;0.901740;0.817740;0.988372
ID14;0.970333;0.963855;0.965155;0.939018;0.956305;0.928036;0.807288;0.835858;0.961170;0.934416;0.971109;0.864729;0.847426;0.811534;0.000000;0.974627;0.881086;0.882417;0.586087;0.857751;0.946779;0.816337;0.924718;0.924373;0.953158;0.972484;0.880364;0.880481;0.905506;0.888911;0.931163;0.872396;0.906659;0.824108;0.871084;0.903838;0.873919;0.515616;0.947756;0.952746;0.969355;0.952653;0.978531;0.968840;0.970993;0.865173;0.888982;0.901049;0.955416;0.982318;0.952416;0.967993;0.910573;0.916175;0.950934;0.962528;0.974564;0.951712;0.979680;0.963793;0.945217;0.972496;0.978209;0.975544;0.987105;0.938986;0.953835;0.953127;0.939357;0.950999;0.949301;0.976651;0.965397;0.929306;0.935572;0.980396;0.981996;0.961473;0.971102;0.940919;0.942856;0.938000;0.956861;0.964176;0.963439;0.974634;0.942329;0.942175;0.958613;0.959834;0.965039;0.943745;0.883082;0.920290;0.960536;0.995725;0.975253;0.965004;0.918489;0.966964
ID15;0.953793;0.937674;0.937001;0.959270;0.917681;0.923468;0.937878;0.960484;0.925553;0.929354;0.404656;0.936165;0.950210;0.940358;0.974627;0.000000;0.936315;0.931329;0.949038;0.937216;0.948058;0.951203;0.923107;0.904400;0.929619;0.745778;0.931707;0.932203;0.933809;0.880115;0.937727;0.944927;0.938826;0.972832;0.967733;0.940796;0.934603;0.954326;0.866709;0.874833;0.910763;0.948576;0.726640;0.742212;0.852453;0.940091;0.923725;0.931520;0.832441;0.951700;0.897997;0.940190;0.932926;0.921313;0.880844;0.858900;0.969823;0.930501;0.955332;0.850503;0.938273;0.935582;0.971241;0.944947;0.937506;0.952105;0.944558;0.945313;0.951336;0.930041;0.914222;0.954684;0.964471;0.924567;0.929182;0.947928;0.971538;0.957083;0.945840;0.924124;0.910996;0.914843;0.916351;0.928304;0.917904;0.923986;0.929478;0.929861;0.919337;0.927075;0.926103;0.921787;0.938309;0.917674;0.987319;0.996808;0.782510;0.876543;0.922534;0.988611
ID16;0.909837;0.888197;0.881639;0.890405;0.876323;0.837154;0.803773;0.801380;0.861761;0.797500;0.949332;0.764414;0.783216;0.789571;0.881086;0.936315;0.000000;0.503244;0.876515;0.904013;0.886989;0.774775;0.862624;0.705001;0.786679;0.918444;0.747804;0.742768;0.747785;0.683693;0.785631;0.755230;0.772371;0.815857;0.803911;0.750541;0.777814;0.876281;0.807755;0.830622;0.864859;0.847912;0.924227;0.888048;0.880086;0.794675;0.780299;0.842001;0.876949;0.917464;0.865419;0.906065;0.766908;0.848499;0.875105;0.903417;0.930278;0.847164;0.914174;0.884906;0.855848;0.926307;0.908907;0.958358;0.965556;0.901267;0.919577;0.895977;0.863617;0.779232;0.868974;0.945196;0.882324;0.790807;0.829441;0.946554;0.913703;0.895507;0.902698;0.846648;0.860428;0.840481;0.886030;0.852559;0.810742;0.876811;0.855183;0.776604;0.879848;0.829047;0.907415;0.816947;0.746483;0.766269;0.989178;0.992121;0.919065;0.882173;0.755535;0.988946
ID17;0.908483;0.893614;0.880555;0.896550;0.880867;0.851008;0.809051;0.808439;0.865246;0.814128;0.945849;0.807734;0.819980;0.816414;0.882417;0.931329;0.503244;0.000000;0.873859;0.891372;0.900196;0.782280;0.876968;0.725803;0.829556;0.919444;0.791968;0.788427;0.799421;0.710427;0.829214;0.792228;0.797077;0.831491;0.828602;0.780211;0.814473;0.885626;0.821068;0.843660;0.865457;0.860089;0.930102;0.892352;0.886270;0.835363;0.801775;0.862700;0.885263;0.927017;0.878527;0.913266;0.806402;0.874872;0.881075;0.909116;0.935420;0.869580;0.928810;0.889528;0.863535;0.928324;0.923129;0.957620;0.965472;0.895475;0.917837;0.895004;0.879715;0.794721;0.860486;0.947379;0.889928;0.805769;0.846105;0.947440;0.917572;0.897032;0.914525;0.843781;0.858806;0.843554;0.873580;0.861346;0.819379;0.878230;0.867060;0.796724;0.865076;0.836939;0.893926;0.822178;0.799372;0.807204;0.977780;0.979735;0.920191;0.885833;0.809933;0.979756
ID18;0.959405;0.943875;0.938565;0.930092;0.910268;0.920507;0.861558;0.896945;0.917448;0.907128;0.946326;0.889048;0.886710;0.865055;0.586087;0.949038;0.876515;0.873859;0.000000;0.711093;0.947476;0.872912;0.900421;0.898565;0.932411;0.966897;0.892718;0.880342;0.906339;0.884502;0.927296;0.888774;0.902914;0.885444;0.893021;0.893543;0.888819;0.568732;0.924704;0.911829;0.945101;0.945327;0.969682;0.959584;0.952490;0.894701;0.869544;0.915353;0.932189;0.971472;0.940600;0.949114;0.892119;0.894575;0.928550;0.950819;0.966948;0.928108;0.974237;0.950862;0.931823;0.928174;0.971813;0.950084;0.978944;0.901174;0.923835;0.910426;0.923599;0.925565;0.919986;0.943995;0.968575;0.915423;0.923846;0.953762;0.978871;0.952653;0.961699;0.910757;0.909753;0.916996;0.916032;0.896574;0.925886;0.919021;0.893042;0.930744;0.927409;0.950904;0.937537;0.928589;0.901956;0.868493;0.974015;0.993161;0.949244;0.933681;0.903593;0.961452
ID19;0.927230;0.940813;0.931624;0.929745;0.892100;0.927913;0.911035;0.951404;0.905384;0.917264;0.934198;0.925391;0.934417;0.924351;0.857751;0.937216;0.904013;0.891372;0.711093;0.000000;0.940899;0.939229;0.909878;0.903859;0.938726;0.959060;0.931295;0.921782;0.941615;0.921067;0.951802;0.939503;0.928945;0.949149;0.928540;0.927615;0.937308;0.732747;0.911424;0.888728;0.910419;0.951469;0.961295;0.955096;0.941222;0.950591;0.906982;0.938725;0.927022;0.968697;0.933422;0.938712;0.921459;0.904608;0.917035;0.945776;0.965925;0.909594;0.977545;0.940502;0.931042;0.908124;0.970427;0.932890;0.960479;0.921653;0.895820;0.901008;0.925387;0.928087;0.903866;0.928636;0.980904;0.915015;0.926967;0.899276;0.978661;0.942136;0.957383;0.908803;0.894428;0.908383;0.895328;0.891091;0.913271;0.896973;0.889898;0.939060;0.896152;0.949581;0.899144;0.913498;0.950386;0.894335;0.954194;0.986559;0.945820;0.903666;0.936375;0.953215
ID20;0.955191;0.940190;0.943270;0.961429;0.924186;0.723286;0.839980;0.877548;0.917055;0.916796;0.957251;0.889173;0.932299;0.917438;0.946779;0.948058;0.886989;0.900196;0.947476;0.940899;0.000000;0.834838;0.902748;0.947643;0.943673;0.964513;0.873043;0.898444;0.869898;0.937498;0.897156;0.909619;0.801231;0.911754;0.908285;0.906196;0.896908;0.946944;0.900572;0.925247;0.900992;0.936118;0.958639;0.955402;0.952270;0.911145;0.911104;0.932826;0.959284;0.954973;0.933203;0.958079;0.908636;0.899210;0.958060;0.959896;0.987565;0.932239;0.959470;0.952176;0.938933;0.947941;0.982925;0.969931;0.972204;0.971510;0.958842;0.961986;0.959873;0.936652;0.923255;0.967638;0.967712;0.926945;0.933353;0.956592;0.980150;0.962003;0.948461;0.945158;0.932391;0.926263;0.937319;0.942766;0.906702;0.923975;0.921642;0.901631;0.938766;0.935972;0.931410;0.930090;0.922686;0.895333;0.995774;0.997588;0.961075;0.934004;0.874924;0.996550
ID21;0.932515;0.925458;0.916124;0.936826;0.886898;0.775464;0.407362;0.369497;0.880825;0.803509;0.953546;0.756992;0.727655;0.741052;0.816337;0.951203;0.774775;0.782280;0.872912;0.939229;0.834838;0.000000;0.884374;0.840739;0.883100;0.963645;0.766235;0.751743;0.809453;0.856693;0.853896;0.731134;0.496009;0.625515;0.726506;0.789017;0.801981;0.864185;0.846692;0.878078;0.904551;0.853370;0.957415;0.928570;0.924364;0.785120;0.787403;0.838313;0.923640;0.938688;0.926697;0.950424;0.760677;0.887708;0.923365;0.944741;0.942945;0.929793;0.928584;0.922470;0.908796;0.946372;0.930224;0.974564;0.977148;0.904280;0.943784;0.913626;0.917713;0.809437;0.917564;0.970689;0.881128;0.881473;0.914645;0.959883;0.923375;0.902661;0.931030;0.905180;0.909740;0.904046;0.930232;0.896691;0.864963;0.914192;0.886096;0.821770;0.926295;0.843097;0.945362;0.886985;0.738461;0.824077;0.993713;0.995182;0.944573;0.912263;0.825418;0.992505
ID22;0.935635;0.889651;0.896050;0.917009;0.880312;0.843021;0.904603;0.895259;0.888899;0.859237;0.930389;0.843070;0.854490;0.867153;0.924718;0.923107;0.862624;0.876968;0.900421;0.909878;0.902748;0.884374;0.000000;0.883773;0.826820;0.963975;0.845504;0.837294;0.844485;0.906129;0.849120;0.857155;0.869078;0.916231;0.903841;0.848359;0.847249;0.906041;0.894685;0.889482;0.881946;0.853949;0.934903;0.918871;0.892298;0.852141;0.854236;0.911049;0.891496;0.914886;0.902193;0.914684;0.833453;0.852643;0.901616;0.898118;0.941602;0.849211;0.903588;0.890129;0.891052;0.915627;0.930174;0.951393;0.973632;0.898583;0.888851;0.884809;0.891599;0.860297;0.842685;0.931193;0.926002;0.827995;0.827844;0.935062;0.936268;0.904445;0.901983;0.850036;0.840117;0.829092;0.859184;0.869116;0.845304;0.868222;0.876778;0.847264;0.860228;0.898256;0.883028;0.839708;0.872816;0.835430;0.986784;0.992817;0.915755;0.874694;0.796098;0.983288
